,City,Cloudiness,Country,Date,Humidity,Temperature,Latitude,Longitude,Wind Speed
37,Vaini,75,IN,1569077412,100,71.6,15.34,74.49,5.82
38,Prince Rupert,90,CA,1569077703,93,57.2,54.32,-130.32,23.04
39,San Quintin,100,PH,1569077703,88,69.74,17.54,120.52,3.42
40,Cape Town,40,ZA,1569077141,67,64.99,-33.93,18.42,6.93
41,Dudinka,75,RU,1569077704,93,37.4,69.41,86.18,22.37
42,Ribeira Grande,20,PT,1569077429,57,75.2,38.52,-28.7,14.99
43,Rikitea,8,PF,1569077408,92,73.34,-23.12,-134.97,9.71
44,College,90,US,1569077438,93,41.0,64.86,-147.8,16.11
45,Vestmannaeyjar,75,IS,1569077704,100,51.8,63.44,-20.27,29.97
46,Severo-Yeniseyskiy,1,RU,1569077705,87,36.98,60.37,93.04,7.56
47,Barrow,0,AR,1569077413,38,58.22,-38.31,-60.23,16.93
48,Cidreira,0,BR,1569077519,46,65.06,-30.17,-50.22,5.44
49,Santa Marta,90,CO,1569077705,79,84.2,11.24,-74.21,13.87
50,Avarua,67,CK,1569077312,73,71.6,-21.21,-159.78,4.7
51,Lodja,95,CD,1569077705,53,87.92,-3.52,23.6,2.33
52,Bethel,90,US,1569077430,92,35.6,60.79,-161.76,5.82
53,Hauge,0,NO,1569077706,48,73.0,59.25,10.99,9.17
54,Champasak,100,LA,1569077706,93,74.6,14.89,105.88,5.21
55,Kerman,0,IR,1569077706,5,87.8,30.29,57.06,6.93
56,Ushuaia,75,AR,1569077541,74,33.8,-54.81,-68.31,24.16
57,Vao,100,EE,1569077706,85,49.4,59.1,26.19,9.01
58,Lokosovo,93,RU,1569077707,79,38.06,61.13,74.84,6.96
59,Vila Franca do Campo,20,PT,1569077411,64,73.4,37.72,-25.43,17.22
60,Tateyama,100,JP,1569077707,91,68.0,36.66,137.31,1.01
61,Banswara,100,IN,1569077708,89,77.3,23.55,74.45,9.19
62,Port Keats,22,AU,1569077708,71,74.78,-14.25,129.55,4.27
63,Atuona,16,PF,1569077433,80,79.82,-9.8,-139.03,22.53
64,Ojinaga,90,US,1569077442,94,71.6,29.56,-104.41,4.7
65,Iberia,2,PE,1569077709,83,83.24,-11.41,-69.49,2.24
66,Coquimbo,0,CL,1569077448,67,80.01,-29.95,-71.34,9.17
67,Port Blair,60,IN,1569077501,83,81.26,11.67,92.75,11.25
68,Khani,90,GE,1569077448,87,57.2,41.96,42.96,6.93
69,East London,40,ZA,1569077417,77,66.2,-33.02,27.91,8.05
70,Xining,22,CN,1569077709,63,41.3,36.62,101.77,6.02
71,Kapaa,40,US,1569077411,78,80.6,22.08,-159.32,17.22
72,Arraial do Cabo,75,BR,1569077540,83,78.8,-22.97,-42.02,13.87
73,Tuatapere,25,NZ,1569077447,93,41.0,-46.13,167.69,1.01
74,Saryg-Sep,51,RU,1569077710,57,53.72,51.49,95.55,3.38
75,Hemsedal,0,NO,1569077710,40,64.0,60.86,8.55,5.99
76,Carnarvon,74,ZA,1569077408,18,77.84,-30.97,22.13,22.44
77,Hilo,90,US,1569077412,83,73.4,19.71,-155.08,5.82
78,Grindavik,75,IS,1569077413,93,55.4,63.84,-22.43,18.34
79,Yellowknife,90,CA,1569077310,100,42.8,62.45,-114.38,10.29
80,La Palma,95,CO,1569077710,75,76.58,5.36,-74.39,2.37
81,Tuktoyaktuk,75,CA,1569077429,86,41.0,69.44,-133.03,14.99
82,Khatanga,94,RU,1569077412,91,42.38,71.98,102.47,11.79
83,Vila Velha,40,BR,1569077408,55,87.8,-3.71,-38.6,23.04
84,Hobyo,74,SO,1569077414,74,77.84,5.35,48.53,28.68
85,Esperance,75,AU,1569077711,93,46.4,-33.86,121.89,4.7
86,Bratsk,40,RU,1569077711,76,50.0,56.15,101.63,8.95
87,Kirkwall,20,GB,1569077703,87,59.0,58.98,-2.96,16.11
88,Bontang,0,ID,1569077712,90,74.42,0.12,117.47,2.19
89,Upernavik,100,GL,1569077415,68,38.06,72.79,-56.15,9.24
90,Pisco,75,PE,1569077461,30,71.6,-13.71,-76.2,10.29
91,Port Elizabeth,1,US,1569077449,64,78.01,39.31,-74.98,5.82
92,Cabo San Lucas,75,MX,1569077454,88,84.99,22.89,-109.91,8.34
93,Coahuayana,15,MX,1569077712,83,76.58,18.62,-100.35,1.72
94,Dandong,0,CN,1569077712,69,58.94,40.12,124.37,6.64
95,Te Anau,14,NZ,1569077463,83,41.3,-45.41,167.72,8.1
96,Mao,40,DO,1569077418,74,91.0,19.55,-71.08,11.41
97,Idrinskoye,68,RU,1569077713,65,47.24,54.37,92.14,2.1
98,Tandalti,94,SD,1569077713,43,91.7,13.01,31.87,11.68
99,Naze,100,NG,1569077441,85,79.64,5.43,7.07,4.92
100,Alexandria,0,RO,1569077691,20,69.01,43.97,25.33,3.67
101,Georgetown,75,GY,1569077416,70,89.6,6.8,-58.16,13.87
102,Vardo,1,US,1569077532,60,78.01,39.62,-77.74,1.16
103,Hobart,75,AU,1569077406,82,50.0,-42.88,147.33,17.22
104,Owando,99,CG,1569077714,63,84.5,-0.49,15.91,1.12
105,Husavik,100,CA,1569077715,98,64.0,50.56,-96.99,2.93
106,Hermanus,97,ZA,1569077435,86,60.01,-34.42,19.24,10.0
107,Cabedelo,75,BR,1569077715,74,80.6,-6.97,-34.84,14.99
108,Talnakh,75,RU,1569077486,93,37.4,69.49,88.39,22.37
109,Tabou,67,CI,1569077716,72,81.26,4.42,-7.36,8.01
110,Maraa,10,BR,1569077716,36,101.6,-1.83,-65.37,0.81
111,Mehamn,88,NO,1569077424,70,38.78,71.03,27.85,11.7
112,Batie,0,FR,1569077716,44,77.0,45.06,5.82,12.75
113,Berea,1,US,1569077648,50,82.99,37.57,-84.3,9.17
114,Kununurra,0,AU,1569077450,69,73.4,-15.77,128.74,1.12
115,Butaritari,7,KI,1569077542,63,84.68,3.07,172.79,9.46
116,Bhadasar,82,IN,1569077717,28,96.56,28.3,74.31,11.21
117,Mindelo,90,PT,1569077717,100,66.99,41.31,-8.72,24.16
118,Atar,39,MR,1569077504,15,105.92,20.52,-13.05,4.65
119,Jamestown,0,AU,1569077541,92,38.96,-33.21,138.6,3.69
120,Ancud,75,CL,1569077482,81,44.6,-41.87,-73.83,5.82
121,Saskylakh,100,RU,1569077489,93,39.5,71.97,114.09,18.75
122,Kalyazin,92,RU,1569077718,83,42.56,57.24,37.84,9.37
123,Pundaguitan,14,PH,1569077718,83,80.72,6.37,126.17,9.66
124,Dunedin,0,NZ,1569077505,88,46.99,-45.87,170.5,3.0
125,Ilulissat,75,GL,1569077455,77,44.6,69.22,-51.1,13.87
126,Ilo,90,PE,1569077718,72,62.6,-17.65,-71.34,5.82
127,Along,100,IN,1569077718,89,59.12,28.17,94.8,4.09
128,Benghazi,0,LY,1569077719,67,78.56,32.12,20.07,18.9
129,Clyde River,90,CA,1569077444,93,35.6,70.47,-68.59,26.4
130,Ledyard,1,US,1569077719,47,78.01,41.44,-72.02,4.7
131,Thompson,75,CA,1569077414,100,50.0,55.74,-97.86,3.36
132,Port Alfred,100,ZA,1569077491,83,66.0,-33.59,26.89,3.0
133,Biak,73,ID,1569077466,99,63.08,-0.91,122.88,3.38
134,Guerrero Negro,0,MX,1569077719,84,67.76,27.97,-114.04,12.35
135,Achacachi,18,BO,1569077720,64,48.86,-16.04,-68.68,3.18
136,Adrar,90,DZ,1569077720,10,109.4,27.87,-0.29,11.41
137,Portland,1,US,1569076990,56,77.0,43.66,-70.25,3.36
138,Rundu,20,NA,1569077422,7,91.4,-17.91,19.77,3.36
139,Praia da Vitoria,40,PT,1569077464,60,75.2,38.73,-27.07,14.2
140,Roxana,75,CR,1569077720,83,77.0,10.27,-83.75,4.7
141,La Ronge,75,CA,1569077453,87,51.8,55.1,-105.3,9.17
142,Busselton,0,AU,1569077541,51,46.0,-33.64,115.35,17.34
143,Kavieng,10,PG,1569077419,69,84.32,-2.57,150.8,9.42
144,San Clemente,1,US,1569077490,93,66.2,33.43,-117.61,2.04
145,Whitehorse,75,CA,1569077171,71,51.8,60.72,-135.06,19.46
146,Castro,75,CL,1569077540,81,44.6,-42.48,-73.76,5.82
147,Tawang,100,BT,1569077721,93,54.08,27.59,91.87,2.98
148,Jalu,0,LY,1569077495,28,92.78,29.03,21.55,15.59
149,Mnogovershinnyy,95,RU,1569077721,85,44.54,53.94,139.92,3.58
150,Broken Hill,0,AU,1569077722,61,50.0,-31.97,141.45,9.17
151,Bredasdorp,70,ZA,1569077421,48,64.4,-34.53,20.04,18.34
152,Oktyabrskoye,0,RU,1569077722,70,48.99,56.73,85.44,4.47
153,Aden,18,YE,1569077667,51,90.26,12.79,45.03,8.72
154,Bambous Virieux,75,MU,1569077430,94,68.0,-20.34,57.76,18.34
155,Erzin,40,TR,1569077498,22,89.6,36.95,36.2,11.41
156,Montivilliers,0,FR,1569077722,42,82.99,49.55,0.19,13.87
157,Rawson,0,AR,1569077510,25,52.1,-43.3,-65.11,24.02
158,Dikson,100,RU,1569077410,87,37.16,73.51,80.55,23.11
159,Yerofey Pavlovich,27,RU,1569077507,92,42.2,53.97,121.97,1.74
160,Sisimiut,100,GL,1569077723,89,40.4,66.94,-53.67,17.63
161,Zhoucheng,0,CN,1569077723,73,71.6,31.35,119.33,6.71
162,Akhtubinsk,47,RU,1569077723,51,55.52,48.29,46.17,6.67
163,Itarantim,20,BR,1569077723,36,86.3,-15.65,-40.06,6.98
164,Maragogi,25,BR,1569077452,68,81.44,-9.01,-35.22,11.45
165,Hofn,100,IS,1569077724,97,40.76,64.25,-15.21,3.04
166,Alihe,0,CN,1569077724,90,45.26,50.57,123.73,3.65
167,Ambilobe,99,MG,1569077724,60,78.38,-13.19,49.05,3.2
168,Katsuura,75,JP,1569077724,78,75.2,33.93,134.5,4.7
169,Shingu,100,JP,1569077725,94,63.08,33.72,135.99,9.95
170,Richards Bay,17,ZA,1569077451,90,71.36,-28.77,32.06,11.74
171,Ondjiva,62,AO,1569077725,5,96.92,-17.07,15.73,2.39
172,Vilhena,0,BR,1569077725,58,87.8,-12.74,-60.15,9.17
173,Isangel,90,VU,1569077492,71,72.98,-19.55,169.27,22.97
174,Beringovskiy,28,RU,1569077409,71,29.24,63.05,179.32,6.38
175,Muros,90,ES,1569077451,93,68.0,42.77,-9.06,6.93
176,Iqaluit,75,CA,1569077726,80,41.0,63.75,-68.52,29.97
177,Barcelos,81,BR,1569077726,42,94.58,-0.97,-62.93,5.14
178,Zhanaozen,75,KZ,1569077726,43,64.52,43.35,52.85,24.16
179,Murakami,100,JP,1569077726,74,65.96,38.29,139.58,4.43
180,Bonthe,97,SL,1569077726,94,76.04,7.53,-12.5,11.25
181,Shelekhov,0,RU,1569077726,71,55.4,52.21,104.1,2.24
182,Airai,33,TL,1569077424,87,67.58,-8.93,125.41,3.76
183,Cockburn Town,68,TC,1569077727,80,83.78,21.46,-71.14,18.61
184,Kenitra,0,MA,1569077727,60,78.01,34.26,-6.57,11.41
185,Rocha,0,UY,1569077447,41,63.62,-34.48,-54.34,13.82
186,Hambantota,20,LK,1569077469,100,78.8,6.12,81.12,9.17
187,Hithadhoo,100,MV,1569077424,73,81.08,-0.6,73.08,11.65
188,Oksfjord,98,NO,1569077727,86,42.8,70.24,22.35,10.29
189,Carutapera,76,BR,1569077589,60,85.94,-1.2,-46.02,11.99
190,Khovu-Aksy,64,RU,1569077728,76,53.0,51.13,93.72,2.33
191,Manikpur,62,IN,1569077728,74,81.44,25.07,81.1,7.94
192,Sovetskiy,23,RU,1569077528,81,39.68,56.76,48.47,5.46
193,Mahebourg,75,MU,1569077433,94,68.0,-20.41,57.7,18.34
194,Laguna,40,BZ,1569077728,78,82.4,16.17,-88.94,1.54
195,Sao Jose da Coroa Grande,25,BR,1569077729,68,81.44,-8.9,-35.15,11.45
196,San Juan,0,AR,1569077324,12,53.9,-31.54,-68.53,7.56
197,Mount Gambier,40,AU,1569077425,93,41.0,-37.83,140.78,10.29
198,Nabire,100,ID,1569077419,96,68.66,-3.36,135.5,3.38
199,Port Macquarie,94,AU,1569077490,88,66.0,-31.43,152.91,10.29
200,Provideniya,51,RU,1569077422,77,29.78,64.42,-173.23,4.72
201,Luzilandia,0,BR,1569077729,24,99.26,-3.46,-42.37,5.3
202,Sena Madureira,1,BR,1569077730,49,91.52,-9.07,-68.66,3.98
203,Kudahuvadhoo,100,MV,1569077440,84,78.56,2.67,72.89,13.38
204,Salym,36,RU,1569077730,79,37.34,60.06,71.48,4.43
205,Tasiilaq,90,GL,1569077410,75,41.0,65.61,-37.64,3.36
206,Quatre Cocos,75,MU,1569077730,94,68.0,-20.21,57.76,18.34
207,Yeniseysk,52,RU,1569077730,95,43.1,58.45,92.17,5.95
208,Vrangel,82,RU,1569077731,78,47.78,42.73,133.08,3.15
209,Havre-Saint-Pierre,20,CA,1569077507,50,57.2,50.23,-63.6,3.36
210,Chuy,0,UY,1569077430,51,61.28,-33.69,-53.46,12.28
211,Kaeo,0,NZ,1569077441,100,46.0,-35.1,173.78,4.27
212,Luderitz,100,NA,1569077458,60,68.0,-26.65,15.16,26.4
213,Birao,67,CF,1569077731,66,82.88,10.3,22.78,4.92
214,Barzas,0,RU,1569077731,57,50.0,55.72,86.32,6.71
215,Torbay,90,CA,1569077430,93,50.0,47.66,-52.73,26.4
216,Avera,1,US,1569077451,54,80.6,33.19,-82.53,6.93
217,Itarema,26,BR,1569077460,41,93.68,-2.92,-39.92,15.14
218,Yulara,0,AU,1569077427,29,51.8,-25.24,130.99,8.05
219,Khandyga,63,RU,1569077732,96,31.76,62.65,135.58,3.47
220,Harper,40,US,1569077732,69,81.0,30.3,-99.24,11.41
221,Leningradskiy,100,RU,1569077420,96,32.66,69.38,178.42,18.19
222,Birchis,0,RO,1569077732,27,68.0,45.97,22.17,3.36
223,Ponta do Sol,0,BR,1569077426,21,96.56,-20.63,-46.0,0.36
224,Hirara,95,JP,1569077465,79,79.46,24.8,125.28,28.05
225,Sulangan,100,PH,1569077733,74,82.34,11.14,123.72,9.57
226,Meshchovsk,100,RU,1569077733,68,45.08,54.32,35.29,9.44
227,Tadine,12,NC,1569077733,72,70.46,-21.55,167.88,27.0
228,Shitanjing,43,CN,1569077496,28,67.76,39.23,106.34,6.44
229,Mount Isa,0,AU,1569077446,28,71.6,-20.73,139.49,11.41
230,Salinopolis,100,BR,1569077428,78,80.9,-0.61,-47.36,19.48
231,Meridian,1,US,1569077328,100,48.0,43.61,-116.39,4.12
232,Villarrica,75,CL,1569077417,93,48.0,-39.28,-72.23,4.7
233,Codrington,40,AU,1569077412,87,66.2,-28.95,153.24,5.82
234,Amahai,47,ID,1569077734,92,74.78,-3.31,129.0,8.3
235,Chadiza,10,ZM,1569077520,17,88.82,-14.06,32.43,6.55
236,Saint-Francois,0,FR,1569077734,37,82.4,46.42,3.91,17.22
237,Banjar,100,ID,1569077506,96,69.2,-7.37,108.54,1.03
238,Igrim,94,RU,1569077496,73,36.8,63.19,64.42,5.53
239,Fort-Shevchenko,99,KZ,1569077735,74,61.82,44.51,50.26,25.72
240,Barreirinha,48,BR,1569077735,30,101.06,-2.8,-57.07,5.26
241,La Rioja,43,AR,1569077583,14,58.94,-29.41,-66.86,6.29
242,Abu Samrah,0,SY,1569077735,39,81.26,35.3,37.18,15.1
243,Lorengau,0,PG,1569077510,81,79.28,-2.02,147.27,4.92
244,Grand-Santi,0,GF,1569077736,45,93.32,4.27,-54.38,5.46
245,Longyearbyen,40,NO,1569077542,69,35.6,78.22,15.63,11.41
246,Palmer,20,AU,1569077134,62,52.0,-34.85,139.16,14.99
247,Cap Malheureux,75,MU,1569077736,94,68.0,-19.98,57.61,18.34
248,Tautira,0,PF,1569077450,78,77.0,-17.73,-149.15,2.24
249,San Patricio,0,PY,1569077419,42,69.74,-26.98,-56.83,9.57
250,Lakatoro,100,VU,1569077737,72,74.78,-16.11,167.42,20.13
251,Kayiry,64,UA,1569077737,41,55.34,46.95,33.71,10.42
252,Lata,92,IN,1569077737,90,38.96,30.78,78.62,0.96
253,Tyazhinskiy,54,RU,1569077737,92,44.9,56.11,88.52,4.83
254,Bubaque,5,GW,1569077738,75,81.62,11.28,-15.83,3.6
255,Ranong,20,TH,1569077738,100,77.0,9.96,98.62,1.12
256,Xiuyan,0,CN,1569077738,69,52.46,40.29,123.27,4.14
257,Yarmouth,20,CA,1569077577,82,70.0,43.84,-66.12,14.99
258,Komsomolskiy,67,RU,1569077738,84,31.76,67.55,63.78,10.18
259,Wajima,100,JP,1569077738,75,67.76,37.4,136.9,21.21
260,Mlandizi,20,TZ,1569077739,62,84.2,-6.71,38.74,16.11
261,Gilgit,1,PK,1569077739,28,52.1,35.92,74.31,4.32
262,Presidencia Roque Saenz Pena,0,AR,1569077739,22,73.16,-26.79,-60.44,7.07
263,Kathmandu,75,NP,1569077544,73,71.6,27.71,85.32,9.17
264,Chokurdakh,53,RU,1569077449,86,25.64,70.62,147.9,4.97
265,Obo,88,CF,1569077740,79,79.1,5.39,26.49,2.35
266,Dhana,100,IN,1569077740,84,77.48,23.75,78.86,6.6
267,Vostok,90,RU,1569077493,99,42.92,46.45,135.83,3.42
268,San Felipe,0,CL,1569077740,35,69.01,-32.75,-70.73,2.53
269,Esterhazy,100,CA,1569077740,79,54.44,50.65,-102.08,14.23
270,Bonavista,100,CA,1569077467,85,48.0,48.65,-53.11,13.0
271,Jinchang,100,CN,1569077741,33,56.6,38.52,102.19,6.15
272,Bluff,0,AU,1569077425,92,58.76,-23.58,149.07,7.83
273,Kavaratti,22,IN,1569077741,77,82.34,10.57,72.64,6.93
274,Muscatine,75,US,1569077741,100,72.0,41.42,-91.04,11.41
275,Tucurui,79,BR,1569077468,37,97.1,-3.77,-49.67,6.2
276,Deputatskiy,7,RU,1569077742,87,25.1,69.3,139.9,1.25
277,Norman Wells,90,CA,1569077419,81,48.2,65.28,-126.83,4.7
278,Nouadhibou,0,MR,1569077707,69,77.0,20.93,-17.03,13.87
279,Goderich,0,CA,1569077742,72,77.0,43.74,-81.71,5.99
280,Gobabis,0,NA,1569077742,5,93.2,-22.45,18.97,2.24
281,Puerto Rico,98,CO,1569077742,82,67.94,1.91,-75.15,2.35
282,Bagua Grande,100,PE,1569077743,80,68.12,-5.75,-78.44,4.27
283,Ahuimanu,20,US,1569077743,88,79.0,21.44,-157.84,10.2
284,Ankang,18,CN,1569077743,74,58.58,32.73,108.99,5.12
285,Port Lincoln,66,AU,1569077421,61,53.9,-34.72,135.86,16.58
286,Cerreto Guidi,0,IT,1569077743,22,81.0,43.76,10.88,4.7
287,Nhulunbuy,59,AU,1569077743,88,73.4,-12.18,136.78,3.36
288,San Jeronimito,40,MX,1569077744,83,78.8,17.55,-101.33,4.09
289,Bedworth,0,GB,1569077744,33,80.01,52.48,-1.47,13.87
290,Praia,0,BR,1569077435,35,87.8,-20.25,-43.81,8.05
291,Sarahan,3,IN,1569077744,83,55.16,31.51,77.79,3.4
292,Ostrovnoy,98,RU,1569077541,93,37.34,68.05,39.51,11.7
293,Lokachi,100,UA,1569077745,75,57.99,50.74,24.65,9.69
294,Souillac,80,FR,1569077425,69,84.99,45.6,-0.6,3.36
295,Terra Santa,0,BR,1569077745,30,100.16,-2.1,-56.49,6.98
296,Turukhansk,100,RU,1569077745,71,39.68,65.8,87.96,18.16
297,Angoche,0,MZ,1569077745,63,76.04,-16.23,39.91,7.05
298,Gizo,20,IL,1569077540,58,82.99,31.8,34.94,11.41
299,La Candelaria,16,VE,1569077746,54,89.72,9.69,-63.4,8.52
300,Turayf,0,SA,1569077746,16,96.8,31.68,38.65,9.17
301,Flinders,100,AU,1569077410,56,68.0,-34.58,150.85,9.17
302,Orlovskiy,71,RU,1569077747,49,56.96,46.87,42.05,9.37
303,Denpasar,20,ID,1569077747,88,77.0,-8.65,115.22,6.93
304,Kankon,40,IN,1569077747,88,80.6,15.02,74.02,4.7
305,Freeport,75,BS,1569077747,74,82.4,26.54,-78.7,17.22
306,Piuma,0,BR,1569077747,45,89.36,-20.84,-40.72,8.66
307,Bud,0,NO,1569077748,48,66.2,62.91,6.91,11.41
308,Sao Sebastiao,92,BR,1569077217,28,101.06,-3.15,-58.36,5.99
309,Kars,40,TR,1569077748,53,50.0,40.61,43.1,23.04
310,Semnan,0,IR,1569077748,9,95.0,35.58,53.39,10.36
311,Beihai,0,CN,1569077749,72,68.0,38.95,121.19,4.47
312,Emba,20,CY,1569077749,69,82.4,34.81,32.42,5.82
313,Le Creusot,0,FR,1569077749,37,82.4,46.81,4.43,17.22
314,Nizhniy Baskunchak,42,RU,1569077750,51,55.88,48.22,46.83,8.08
315,Dongdu,0,CN,1569077750,60,61.1,35.85,117.7,6.13
316,Taoudenni,0,ML,1569077750,5,109.16,22.68,-3.98,3.44
317,Franklin Square,1,US,1569077750,69,79.0,40.86,-80.79,7.7
318,Oyama,75,JP,1569077750,88,75.0,36.31,139.8,4.7
319,Cravo Norte,100,CO,1569077751,87,77.3,6.3,-70.2,3.87
320,Inhambane,20,MZ,1569077509,61,77.0,-23.87,35.38,11.41
321,Ewo,93,CG,1569077751,52,86.48,-0.88,14.81,3.42
322,Wenling,100,CN,1569077751,66,78.01,28.38,121.38,10.13
323,Saint-Pierre,0,FR,1569077456,37,87.01,48.95,4.24,18.34
324,Katangli,14,RU,1569077519,90,41.84,51.71,143.23,8.01
325,Evensk,41,RU,1569077752,80,33.2,61.92,159.24,2.35
326,Ovre Ardal,0,NO,1569077752,71,50.12,61.32,7.8,0.56
327,Lompoc,1,US,1569077346,87,64.99,34.64,-120.46,5.03
328,Morant Bay,40,JM,1569077753,70,86.0,17.88,-76.41,9.17
329,Zhigansk,100,RU,1569077423,95,35.72,66.77,123.37,26.37
330,Kinsale,75,IE,1569077753,100,60.8,51.71,-8.52,20.8
331,Rio Claro,94,BR,1569077753,54,84.0,-22.41,-47.56,5.99
332,Nalut,15,LY,1569077753,14,98.18,31.86,10.98,7.09
333,Pringsewu,66,ID,1569077754,92,71.72,-5.36,104.98,4.38
334,Mana,0,NG,1569077530,32,96.56,13.03,5.27,4.83
335,Gazojak,0,TM,1569077754,19,76.58,41.19,61.4,6.29
336,Igarka,100,RU,1569077754,82,39.68,67.47,86.57,23.78
337,Antalaha,99,MG,1569077754,87,65.06,-14.9,50.28,3.42
338,Saldanha,89,PT,1569077414,67,67.04,41.42,-6.55,8.97
339,Luanda,0,AO,1569077681,74,78.8,-8.83,13.24,11.41
340,Jacareacanga,0,BR,1569077755,30,98.9,-6.22,-57.76,5.32
341,Honningsvag,91,NO,1569077425,89,39.32,70.98,25.97,12.08
342,Kutum,10,SD,1569077755,19,91.88,14.2,24.66,9.22
343,Houma,0,CN,1569077755,40,65.6,35.63,111.36,2.95
344,Pevek,100,RU,1569077434,95,33.2,69.7,170.27,18.52
345,Juneau,90,US,1569077536,93,55.4,58.3,-134.42,9.17
346,Constitucion,40,MX,1569077756,100,64.99,23.99,-104.67,0.43
347,Sebrovo,94,RU,1569077756,64,53.01,50.1,43.3,8.52
348,Alpena,40,US,1569077756,78,79.0,45.06,-83.43,8.05
349,Alekseyevsk,100,RU,1569077757,85,49.4,57.84,108.35,5.77
350,Saint-Georges,67,CA,1569077757,72,64.0,46.12,-70.67,4.21
351,Moranbah,0,AU,1569077757,93,58.58,-22.0,148.04,11.41
352,Zhangye,100,CN,1569077757,30,60.74,38.94,100.46,0.67
353,Bugiri,96,UG,1569077757,65,75.86,0.57,33.75,6.85
354,Narsaq,90,GL,1569077416,86,39.2,60.91,-46.05,3.36
355,Alofi,93,NU,1569077442,93,66.2,-19.06,-169.92,8.05
356,Necochea,0,AR,1569077498,57,57.99,-38.55,-58.74,8.99
357,Chakia,62,IN,1569077758,68,84.32,26.42,85.05,0.98
358,Kourou,40,GF,1569077758,70,87.8,5.16,-52.64,10.29
359,Khawhai,100,IN,1569077758,97,69.92,23.52,93.19,1.63
360,Milkovo,9,BG,1569077759,26,71.6,41.53,24.68,5.82
361,Sao Filipe,35,CV,1569077500,85,81.08,14.9,-24.5,14.45
362,La Brea,75,TT,1569077759,79,84.2,10.24,-61.62,14.99
363,Salalah,40,OM,1569077440,78,82.4,17.01,54.1,11.41
364,Salumbar,75,IN,1569077759,94,73.4,24.14,74.05,7.63
365,Altamont,90,CA,1569077760,100,62.6,49.4,-98.5,15.66
366,Petropavlovsk-Kamchatskiy,20,RU,1569077760,100,42.8,53.05,158.65,6.71
367,Nisia Floresta,75,BR,1569077473,78,82.4,-6.09,-35.21,19.46
368,Victoria,75,BN,1569077478,79,84.2,5.28,115.24,4.7
369,Whitianga,4,NZ,1569077760,93,45.0,-36.83,175.7,4.83
370,Sungairaya,100,ID,1569077760,84,80.9,0.7,108.9,12.28
371,Anloga,20,GH,1569077761,70,86.0,5.79,0.9,12.75
372,Buraydah,0,SA,1569077761,15,105.8,26.33,43.97,11.41
373,Adela,0,AR,1569077761,39,62.18,-35.68,-57.95,15.82
